,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,Jmag_Hmag_Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
1,20.634,18.906,16.35,14.889,15.928,12.405,11.696,11.343,0.4090653594771241,0.5219220779220808,-0.8325438596491206,0.21116822429906823,2.506877192982453,3.873831775700933,7.046177570093461,1.7101578947368385,2.3607757009345764,4.7889672897196265,1.7523084112149558,Jmag_Hmag_Kmag,-56.706351,16.361,4.317,7.655,5.04,9,3.356,11.6,152.450956,1,0,0,1
13,19.931,18.143,15.261,13.63,14.75,10.746,9.936,9.459,0.40470588235294147,0.42809523809523786,-1.0887076023391806,0.059789719626168525,2.686093567251466,4.173327102803741,7.703616822429906,1.9377368421052656,2.6456028037383197,5.34514953271028,1.9450186915887833,Jmag_Hmag_Kmag,-57.230152,15.275,4.457,8.973,1.65,36,3.476,10.91,152.188854,1,0,0,1
60,20.44,18.606,15.728,14.032,15.224,10.888,9.968,9.43,0.46287581699346386,0.47598268398268284,-1.081590643274855,0.11139252336448524,2.6490292397660844,4.222130841121498,7.9007850467289735,1.896105263157897,2.6448411214953294,5.459644859813086,2.0302056074766353,Jmag_Hmag_Kmag,-57.077087,15.741,4.409,9.512,2.96,167,3.738,10.3,153.315795,1,0,0,1
85,20.992,19.178,16.385,14.752,15.94,11.746,10.85,10.373,0.49070588235294177,0.4960909090909096,-1.0072514619883037,0.16473831775700898,2.620660818713449,4.174476635514016,7.727775700934577,1.84757894736842,2.58713551401869,5.308672897196261,1.9660841121495334,Jmag_Hmag_Kmag,-57.296756,16.427,4.359,9.058,3.51,240,3.679,10.82,153.481891,1,0,0,1
150,17.392,18.125,17.183,16.606,16.944,15.383,15.004,14.86,0.2566470588235289,-1.177493506493507,-1.7012514619883035,-1.334537383177571,-0.4928479532163723,-0.023299065420561815,1.2092897196261627,0.6079473684210539,0.8314345794392521,1.7701308411214918,0.6717663551401843,Jmag_Hmag_Kmag,-57.720938,17.227,4.639,4.313,5.66,373,4.975,18.74,153.420283,1,0,1,0
152,20.597,18.508,15.374,13.514,14.826,10.056,9.057,8.424,0.46115686274509615,0.6101861471861503,-1.0943099415204651,0.21358878504673218,2.9605438596491225,4.690364485981309,8.72606542056075,2.0571578947368403,2.88048598130841,5.9688037383177575,2.2278504672897212,Jmag_Hmag_Kmag,-57.090546,15.327,4.417,10.406,4.29,376,3.769,9.29,154.220685,1,0,0,1
169,20.09,18.4,15.772,14.225,15.28,11.453,10.566,10.182,0.5607254901960769,0.4499480519480541,-0.9712573099415183,0.10084112149532909,2.4362690058479526,3.8397943925233635,7.186214953271028,1.7323684210526298,2.400392523364484,4.958855140186914,1.842794392523365,Jmag_Hmag_Kmag,-57.277031,15.751,4.316,8.417,6.91,414,3.644,10.3,154.085038,1,0,0,1
223,20.154,19.727,18.227,17.362,17.912,15.973,15.291,15.367,0.7465751633986937,-0.28079220779220815,-1.0805146198830424,-0.49746261682243076,0.8748362573099389,1.620831775700933,3.4807850467289745,0.9992105263157884,1.354275700934579,2.7736448598130865,1.0192056074766378,Jmag_Hmag_Kmag,-57.229086,18.198,4.336,4.938,5.45,519,3.646,15.85,154.435058,1,0,0,0
240,18.319,18.66,17.56,16.966,17.293,15.797,15.174,15.315,0.7428039215686285,-0.8600476190476207,-1.4208011695906435,-1.0372757009345808,0.036473684210529655,0.49948598130841215,1.7625140186915844,0.7561052631578975,0.9764813084112166,1.9369579439252314,0.6856822429906514,Jmag_Hmag_Kmag,-57.806036,17.518,4.551,4.293,2.7,555,4.174,18.09,153.84482,1,0,1,0
273,20.063,19.981,18.56,17.75,18.145,16.146,15.434,15.564,0.8224575163398714,-0.5885151515151557,-1.3400994152046821,-0.8531588785046765,0.517736842105265,1.0996355140186926,2.8076728971962597,0.952052631578951,1.229014018691592,2.5244813084112163,0.9207476635514005,Jmag_Hmag_Kmag,-58.445164,18.595,4.458,5.379,4.39,656,4.208,17.05,153.35683,1,0,1,0
437,19.141,17.146,14.245,12.551,13.746,9.479,8.656,8.113,0.36162745098038995,0.626129870129867,-0.933976608187137,0.2632242990654181,2.835461988304094,4.410990654205608,8.086542056074764,1.9202631578947391,2.6701542056074787,5.482873831775701,2.029046728971962,Jmag_Hmag_Kmag,-57.159384,14.247,4.315,9.147,4.96,1006,3.589,8.19,156.036587,1,0,0,1
473,20.843,18.914,15.902,14.133,15.405,11.003,10.133,9.652,0.46130718954248484,0.5077532467532444,-1.1185380116959092,0.1417056074766334,2.789233918128656,4.457934579439254,8.302971962616823,1.9878421052631603,2.782079439252339,5.726084112149535,2.125635514018692,Jmag_Hmag_Kmag,-57.459526,15.924,4.538,9.666,7.51,1086,3.539,11.89,156.025071,1,0,0,1
490,20.841,18.896,15.737,13.901,15.135,10.505,9.571,9.035,0.47857516339869427,0.45438961038961057,-1.2389473684210524,0.029350467289719795,2.870736842105264,4.518878504672898,8.485383177570094,2.096052631578948,2.880504672897197,5.911850467289721,2.181981308411215,Jmag_Hmag_Kmag,-57.363146,15.763,4.581,10.317,6.84,1119,3.649,11.71,156.260877,1,0,0,1
597,18.862,18.111,15.787,14.366,15.332,11.45,10.454,9.961,0.5771111111111096,-0.3456060606060627,-1.6361637426900613,-0.6644719626168245,1.3465321637426866,2.632757009345792,5.705757009345794,1.5013157894736835,2.1135093457943923,4.462728971962618,1.6918411214953286,Jmag_Hmag_Kmag,-57.842242,15.793,4.619,8.937,1.94,1294,4.439,13.17,156.011397,1,0,0,0
601,16.038,15.685,13.793,12.618,13.367,10.435,9.745,9.386,0.38496732026143926,-0.5397619047619056,-1.6019883040935674,-0.8276635514018689,0.8157602339181313,1.8309439252336475,4.3580000000000005,1.2117368421052652,1.694925233644862,3.6235000000000004,1.3849999999999991,Jmag_Hmag_Kmag,-57.790982,13.778,4.643,7.024,3.93,1303,4.131,13.14,156.088688,1,0,0,0
746,20.687,18.803,15.954,14.313,15.465,11.109,10.16,9.627,0.4961241830065363,0.539666666666667,-0.9780467836257305,0.18380373831775731,2.7369298245614044,4.257710280373832,7.816691588785046,1.898947368421053,2.6227803738317754,5.345925233644859,1.9639906542056074,Jmag_Hmag_Kmag,-58.268023,15.966,4.308,9.374,2.27,1626,3.826,9.6,156.400035,1,0,0,1
813,16.797,17.203,15.869,14.971,15.488,13.032,12.375,12.033,0.366411764705882,-1.035463203463202,-1.8287368421052612,-1.279528037383176,-0.16430409356724995,0.5576822429906549,2.4734579439252333,0.8141052631578947,1.1577429906542052,2.616126168224298,1.042953271028037,Jmag_Hmag_Kmag,-58.619279,15.928,4.644,6.168,4.22,1851,5.226,15.83,156.527828,1,0,1,0
1193,19.655,19.733,18.161,17.338,17.915,15.633,15.035,14.788,0.38813071895424744,-0.8197662337662327,-1.6046374269005836,-1.0039906542056074,0.49292397660818676,1.25489719626168,3.039598130841119,1.0955263157894728,1.4581962616822413,2.823705607476634,0.9847757009345793,Jmag_Hmag_Kmag,-58.269464,,4.596,5.678,4.73,3106,4.132,18.09,159.062661,1,0,1,0
1550,18.829,18.8,17.528,16.898,17.26,15.473,15.326,14.787,-0.31097385620914975,-0.5712077922077932,-1.1833859649122813,-0.7553925233644855,0.5346842105263191,1.0405140186915935,2.3843457943925266,0.9072631578947394,1.1480186915887884,2.1709626168224325,0.7314953271028033,Jmag_Hmag_Kmag,-59.262546,17.572,4.37,4.419,7.03,4239,3.961,15.93,159.65436,1,0,1,0
1557,17.898,17.845,16.749,16.123,16.471,14.962,14.806,14.365,-0.21870588235293964,-0.46416017316017233,-1.0446491228070152,-0.6468411214953255,0.3875497076023431,0.8787943925233668,2.2108130841121465,0.7335789473684226,0.9673925233644867,1.9805607476635485,0.7235700934579413,Jmag_Hmag_Kmag,-60.179082,16.749,4.304,3.805,5.87,4268,3.808,14.99,158.656128,1,0,0,0
1678,16.419,16.95,16.371,16.017,16.129,15.469,15.362,14.921,-0.2677058823529424,-0.8042077922077913,-1.1257192982456128,-0.9491728971962594,-0.38259649122806727,-0.18721495327102355,0.542261682242994,0.3740526315789485,0.46704672897196453,1.0162149532710292,0.38540186915887825,Jmag_Hmag_Kmag,-60.539477,16.336,4.363,2.488,3.9,4649,4.078,16.3,158.624204,1,0,1,0
1791,20.09,19.869,18.302,17.491,17.714,16.125,15.27,15.126,0.7326470588235298,-0.5184069264069263,-1.294801169590643,-0.8766401869158882,0.8015204678362579,1.2164859813084106,2.878271028037382,1.0974736842105266,1.2949813084112147,2.5436869158878497,0.873523364485981,Jmag_Hmag_Kmag,-58.801898,18.298,4.456,5.252,7.24,5006,3.79,16.97,160.960948,1,1,1,0
1844,20.025,19.967,18.218,17.252,17.857,15.559,15.015,14.722,0.29504575163398483,-0.7672857142857138,-1.6726140350877192,-1.0167196261682239,0.6319824561403484,1.456121495327101,3.530663551401869,1.1897368421052614,1.5819953271028022,3.1645093457943925,1.1356261682243003,Jmag_Hmag_Kmag,-59.263386,18.173,4.613,5.842,4.39,5153,3.722,18.27,160.643481,1,0,1,0
1874,19.811,19.471,17.915,17.053,17.438,15.317,14.598,14.634,0.7495882352941167,-0.3942164502164507,-1.2012982456140346,-0.6955000000000005,0.8474853801169622,1.4323738317757015,3.240149532710277,1.0569473684210546,1.3353317757009355,2.704051401869157,0.9699439252336426,Jmag_Hmag_Kmag,-59.959697,17.934,4.377,5.491,2.88,5249,4.01,15.46,159.999749,1,1,0,0
1894,20.393,19.99,18.094,16.833,17.609,14.186,13.236,12.754,0.5404575163398677,-0.491649350649347,-1.6093567251461964,-0.8097523364485939,0.7651520467836221,1.8275981308411215,4.531813084112156,1.1659473684210484,1.6716308411214928,3.733560747663554,1.4785700934579478,Jmag_Hmag_Kmag,-59.680048,18.084,4.521,8.11,1.98,5321,4.875,14.85,160.392854,1,0,1,0
1907,19.932,19.919,18.268,17.182,17.373,14.994,14.103,13.712,0.5587777777777778,-0.7660432900432917,-1.7316374269005876,-1.2837943925233657,0.3430175438596448,0.7940934579439237,2.9891962616822463,1.0222631578947357,1.2369579439252338,2.8789112149532747,1.1395514018691617,Jmag_Hmag_Kmag,-59.650637,18.215,4.588,7.093,2.78,5365,4.855,16.73,160.473833,1,1,1,0
1972,19.821,19.484,17.238,15.674,16.397,12.25,11.035,10.377,0.6559150326797389,-0.7228008658008671,-2.0915964912280716,-1.2353504672897213,0.6805906432748561,1.7655794392523374,5.052439252336449,1.340526315789476,1.8569392523364505,4.347182242990655,1.7667102803738315,Jmag_Hmag_Kmag,-59.510516,17.287,4.634,10.138,5.07,5614,5.321,13.59,160.9027,1,1,1,0
2007,19.69,19.367,17.504,16.305,16.914,13.717,12.89,12.444,0.4480457516339872,-0.5560779220779214,-1.6288011695906432,-0.9264252336448588,0.7275672514619866,1.6125420560747665,4.147672897196266,1.1688421052631566,1.5900560747663548,3.5144813084112174,1.369747663551404,Jmag_Hmag_Kmag,-59.612416,17.506,4.563,7.808,1.88,5751,4.742,15.07,160.928355,1,1,1,0
2032,19.624,19.769,18.285,17.373,18.737,15.528,14.551,14.176,0.6583725490196082,-0.8452424242424229,-1.6722748538011671,-0.6706448598130836,0.22966666666666669,1.778327102803735,3.9591869158878445,0.9559999999999989,1.6931028037383151,3.4094392523364436,1.2944299065420544,Jmag_Hmag_Kmag,-59.543117,18.527,4.559,6.435,6.42,5839,4.988,16.96,161.071843,1,0,1,0
2037,19.649,19.391,17.559,16.48,16.246,13.825,13.05,12.563,0.36120915032679596,-0.6064502164502124,-1.5975497076023348,-1.3438925233644827,0.7775321637426895,0.8138130841121474,2.8759532710280356,1.207315789473681,1.224584112149529,2.7371401869158842,1.013392523364486,Jmag_Hmag_Kmag,-59.55578,17.534,4.452,7.645,4.22,5849,4.988,13.95,161.07336,1,1,1,0
2069,20.156,19.756,18.316,17.413,18.001,15.717,14.937,15.005,0.8377777777777801,-0.27948051948052144,-1.0934912280701767,-0.49390186915887924,0.741614035087721,1.5338317757009368,3.4793738317757006,0.9172105263157916,1.2942757009345818,2.7798785046728978,1.067859813084111,Jmag_Hmag_Kmag,-60.128437,18.3,4.307,5.511,6.45,5949,4.324,15.06,160.549006,1,0,0,0
2104,19.278,19.247,17.681,16.701,16.805,14.53,13.904,13.582,0.3524052287581701,-0.7079350649350655,-1.5918888888888894,-1.212822429906543,0.4049532163742666,0.7455607476635482,2.7072429906542026,0.9986315789473672,1.1607476635514002,2.623271028037382,1.009158878504673,Jmag_Hmag_Kmag,-59.858255,17.654,4.572,6.582,3.08,6054,4.689,16.42,160.936769,1,1,1,0
2211,19.182,18.924,17.071,15.745,16.683,13.072,12.107,11.567,0.5061764705882359,-0.6163593073593072,-1.7683801169590652,-0.8834439252336452,0.49808771929824025,1.7338785046728926,4.611691588785047,1.0853157894736811,1.6735046728971934,3.8759252336448604,1.58899065420561,Jmag_Hmag_Kmag,-59.760242,17.023,4.602,8.298,6.91,6391,5.026,14.63,161.357741,1,0,1,0
2245,16.736,16.161,13.962,12.592,13.489,9.756,8.88,8.334,0.41207843137254757,-0.46262337662337805,-1.6999766081871353,-0.7859719626168231,1.1075672514619905,2.314261682242993,5.267345794392524,1.4058421052631602,1.9801822429906564,4.2354626168224305,1.621495327102803,Jmag_Hmag_Kmag,-59.783881,13.954,4.624,8.616,3.46,6480,4.526,11.66,161.403107,1,0,0,0
2319,14.907,14.96,13.477,12.501,13.108,10.554,9.899,9.574,0.3788562091503286,-0.7527705627705638,-1.6204327485380132,-0.9963084112149541,0.24281871345029127,1.0713457943925233,3.166168224299067,0.9179473684210527,1.3122943925233652,2.909995327102806,1.1461869158878517,Jmag_Hmag_Kmag,-60.008171,13.482,4.617,6.276,2.2,6720,4.622,13.05,161.382713,1,0,0,0
2346,18.752,19.24,18.07,17.406,17.675,15.74,15.293,14.73,-0.031366013071893406,-1.0400779220779208,-1.6570409356725138,-1.2851261682242971,-0.12567251461988604,0.2980747663551393,1.6828785046728996,0.7855789473684185,0.9872663551401853,2.0338644859813093,0.7394205607476656,Jmag_Hmag_Kmag,-60.491864,18.085,4.59,5.32,5.41,6815,5.171,18.11,160.965388,1,0,1,0
2421,19.823,19.928,18.641,17.864,18.171,16.114,15.144,14.887,0.7516339869281055,-0.7122857142857159,-1.4206491228070177,-0.9999205607476646,0.23687719298246157,0.7251775700934613,2.343467289719624,0.8371578947368462,1.069570093457947,2.2920981308411204,0.8630747663551372,Jmag_Hmag_Kmag,-60.084778,18.741,4.411,5.828,6.94,7100,5.228,16.11,161.649855,1,1,1,0
2461,20.563,19.935,18.357,17.419,18.031,15.791,15.508,14.862,-0.26588888888888673,-0.11659740259740214,-0.9757660818713436,-0.3417943925233641,1.065040935672516,1.889140186915887,3.9104299065420522,1.0349473684210528,1.4271869158878496,2.9707102803738286,1.1095887850467274,Jmag_Hmag_Kmag,-59.47463,18.392,4.306,5.19,5.27,7252,3.645,15.46,162.418278,1,0,0,0
2490,18.001,17.978,16.812,16.092,16.546,14.189,14.204,13.826,-0.3361764705882359,-0.5271904761904767,-1.179187134502926,-0.7063831775700947,0.31321052631578683,0.9304579439252321,2.4775607476635546,0.7491578947368411,1.0429439252336445,2.223317757009349,0.8472897196261708,Jmag_Hmag_Kmag,-58.97423,16.791,4.31,4.764,1.26,7336,4.642,14.2,162.972767,1,0,0,0
2602,16.372,16.329,14.754,13.676,14.382,11.335,10.509,10.062,0.4461960784313723,-0.7001818181818193,-1.6480935672514627,-0.948696261682244,0.3067485380116972,1.2564299065420566,3.580149532710279,0.9508947368421068,1.402906542056076,3.177551401869159,1.2759439252336442,Jmag_Hmag_Kmag,-60.440569,14.751,4.514,7.199,1.22,7688,5.138,12.18,161.905482,1,0,0,0
2603,20.417,19.07,16.399,14.675,15.905,11.356,10.232,9.6,0.5870065359477133,0.08665800865801043,-1.4544912280701734,-0.26507943925233524,1.920970760233919,3.537850467289719,7.2823738317757,1.6728947368421045,2.442467289719625,5.3088785046728955,2.068859813084112,Jmag_Hmag_Kmag,-60.409997,16.371,4.509,10.133,5.29,7689,4.318,11.4,161.942624,1,0,0,0
2669,18.682,18.735,17.248,16.332,16.884,14.674,14.07,13.914,0.4714509803921556,-0.7546580086580086,-1.584736842105263,-0.995799065420561,0.31980116959064064,1.0802056074766324,3.0412897196261657,0.956684210526314,1.318607476635512,2.8131308411214935,1.0707663551401871,Jmag_Hmag_Kmag,-58.906195,17.223,4.631,5.667,3.42,7906,4.15,17.6,163.661619,1,0,1,0
2814,20.637,19.916,18.247,17.352,17.907,16.029,15.207,15.134,0.7599738562091491,-0.06653679653679656,-0.9133625730994148,-0.30227570093457934,1.3013450292397675,2.0595327102803744,3.980046728971962,1.1508421052631586,1.5117102803738325,2.976359813084112,1.0506074766355136,Jmag_Hmag_Kmag,-58.887118,18.3,4.308,4.983,6.8,8338,3.374,15.61,164.19436,1,0,0,0
2825,19.458,19.817,18.425,17.617,18.108,15.82,15.35,15.176,0.32215686274509914,-1.0158311688311703,-1.7613391812865509,-1.2294719626168238,0.05016959064327298,0.7248878504672873,2.455897196261679,0.9242105263157891,1.245350467289719,2.564808411214952,0.945663551401869,Jmag_Hmag_Kmag,-59.547939,18.396,4.63,5.709,7.49,8379,4.707,18.69,163.642931,1,0,1,0
2960,16.884,17.314,16.177,15.488,15.814,14.033,13.302,13.118,0.5746601307189547,-0.9665064935064934,-1.5939415204678362,-1.1940186915887847,-0.13108187134502836,0.3541775700934592,1.804261682242992,0.7381052631578953,0.9690700934579446,2.068214953271029,0.7804018691588788,Jmag_Hmag_Kmag,-57.514154,16.185,4.571,5.129,5.29,8789,4.961,16.15,165.92584,1,0,1,0
3038,20.431,19.79,18.171,17.238,17.668,16.222,15.307,15.479,1.061143790849673,-0.12294372294372102,-0.9857134502923954,-0.43983177570093246,1.1251228070175459,1.7711028037383194,3.7315046728971972,1.0788421052631578,1.3863037383177568,2.8714859813084104,1.0535607476635511,Jmag_Hmag_Kmag,-58.411409,18.006,4.361,4.861,3.72,9008,3.225,16.17,165.427892,1,0,0,0
3108,18.881,19.178,17.818,17.09,17.631,15.502,15.175,14.876,0.07294771241829956,-0.938731601731602,-1.6279473684210537,-1.0849579439252344,0.1774795321637399,0.8812429906542034,2.4685140186915895,0.9385263157894723,1.2734906542056064,2.489957943925235,0.8796822429906559,Jmag_Hmag_Kmag,-61.093549,17.847,4.63,5.137,7.48,9177,4.267,18.64,163.118564,1,0,1,0
3188,19.015,19.123,17.869,17.23,17.637,15.857,15.114,15.093,0.7251568627450959,-0.6997142857142868,-1.3146491228070183,-0.8648878504672904,0.3687368421052649,0.9205046728971977,2.2947009345794394,0.8840526315789492,1.1466728971962634,2.1953971962616827,0.7531121495327097,Jmag_Hmag_Kmag,-59.726453,17.9,4.422,4.75,6.44,9383,4.325,16.52,164.677951,1,0,1,0
3559,18.046,18.18,17.13,16.538,16.798,15.855,15.896,15.218,-0.61707843137255,-0.6294545454545462,-1.1806549707602338,-0.8379158878504682,0.19590643274854003,0.5933084112149529,1.8336074766355106,0.7072631578947384,0.8964112149532715,1.8351775700934558,0.6648971962616804,Jmag_Hmag_Kmag,-58.733671,17.135,4.476,3.26,5.44,10316,3.066,17.74,166.558234,1,0,1,0
3662,18.36,18.402,17.38,16.843,17.102,15.763,15.631,15.11,-0.3106797385620924,-0.5242424242424267,-1.035748538011698,-0.7041495327102821,0.32680701754386143,0.7097943925233663,1.8413551401869157,0.7111052631578973,0.8933925233644886,1.7514345794392536,0.6096168224299057,Jmag_Hmag_Kmag,-62.352735,17.384,4.3,3.55,3.06,10534,3.882,15.81,163.398042,1,0,0,0
4073,20.234,19.735,18.167,17.24,17.798,15.737,15.046,15.091,0.7292352941176478,-0.24087878787878447,-1.0913801169590625,-0.48760280373831577,0.9394210526315756,1.7083457943925204,3.69280373831776,1.0313157894736804,1.3972943925233607,2.9095887850467297,1.0834485981308442,Jmag_Hmag_Kmag,-61.304076,18.152,4.358,5.226,4.86,11397,3.658,15.76,165.513474,1,0,0,0
4149,18.552,19.124,18.179,17.448,17.917,15.92,15.502,14.984,-0.022130718954249617,-1.0179090909090902,-1.6403274853801149,-1.1867803738317733,-0.5161695906432712,0.11834579439252757,1.6913457943925239,0.5217894736842119,0.8237943925233663,2.0244626168224293,0.8624953271028022,Jmag_Hmag_Kmag,-59.966185,18.075,4.634,5.026,4.13,11594,5.298,18.96,167.032262,1,0,1,0
4227,19.891,19.89,18.244,17.271,17.825,15.584,15.162,14.723,0.04899346405228644,-0.7756839826839853,-1.6684210526315808,-1.0507990654205634,0.4634678362573099,1.2397476635514,3.3137943925233597,1.0826842105263172,1.4521635514018698,3.0306168224299053,1.128327102803737,Jmag_Hmag_Kmag,-60.772619,18.166,4.629,5.755,6.09,11762,3.836,18.55,166.623107,1,0,1,0
4468,19.394,18.85,17.093,16.112,16.627,14.333,13.481,13.338,0.7304967320261435,-0.2850606060606097,-1.2012748538011744,-0.5882757009345836,1.1077368421052598,1.848065420560745,3.926953271028038,1.189052631578948,1.5414205607476645,3.1206401869158915,1.125392523364488,Jmag_Hmag_Kmag,-60.254481,17.091,4.378,6.0,5.4,12204,3.887,14.25,167.60802,1,0,0,0
4572,18.811,18.919,17.442,16.54,16.877,14.806,14.061,13.871,0.5835620915032677,-0.8049393939393945,-1.6244385964912293,-1.1480841121495338,0.27183040935672387,0.8198411214953257,2.6930373831775705,0.9547894736842103,1.2156214953271025,2.6293878504672907,0.9964859813084121,Jmag_Hmag_Kmag,-61.181542,17.452,4.62,5.964,4.97,12416,4.493,17.36,167.096289,1,1,1,0
4583,19.44,19.54,18.096,17.208,17.753,15.746,15.256,14.83,0.12803921568627463,-0.7813679653679627,-1.5864795321637408,-1.0102009345794363,0.26385964912280646,1.010616822429908,2.9145233644859863,0.9298947368421034,1.285322429906541,2.7369299065420583,1.0408037383177593,Jmag_Hmag_Kmag,-60.654559,18.097,4.627,5.373,4.68,12431,4.007,18.66,167.562572,1,0,1,0
4660,16.594,17.291,16.458,15.957,15.898,15.259,14.862,14.856,0.3919019607843138,-1.0900606060606062,-1.5473274853801158,-1.4065186915887844,-0.47340350877192405,-0.4082990654205566,0.5631121495327094,0.542947368421056,0.573934579439255,1.2901635514018681,0.484457943925231,Jmag_Hmag_Kmag,-60.982087,16.366,4.639,3.45,4.12,12599,4.162,18.81,167.514078,1,1,1,0
5170,16.262,15.748,13.7,12.411,13.154,9.975,9.167,8.738,0.44349019607843104,-0.4523722943722932,-1.6130935672514606,-0.8072429906542038,0.9940935672514639,2.031308411214955,4.781485981308412,1.3017368421052635,1.7954112149532715,3.889042056074766,1.4973177570093457,Jmag_Hmag_Kmag,-61.242734,13.696,4.632,7.747,3.22,13501,4.254,12.28,168.747828,1,0,0,0
5187,18.701,18.125,15.97,14.62,15.635,12.153,11.306,10.91,0.5105294117647081,-0.44086147186147095,-1.6581812865497074,-0.6922710280373825,1.0888947368421038,2.405392523364485,5.352121495327104,1.3734210526315778,2.00002336448598,4.259135514018693,1.634579439252338,Jmag_Hmag_Kmag,-61.249687,15.971,4.648,7.918,7.62,13526,4.152,14.63,168.770723,1,0,0,0
5391,20.39,19.639,17.974,17.047,17.575,15.579,14.92,15.085,0.799196078431374,-0.03464935064934893,-0.9012105263157872,-0.3002897196261669,1.28842105263158,2.02818691588785,4.004233644859811,1.1283157894736837,1.480415887850466,2.9842990654205583,1.0750373831775693,Jmag_Hmag_Kmag,-61.826579,17.986,4.325,5.101,7.59,13831,3.405,15.4,168.641756,1,0,0,0
5393,20.003,18.117,15.304,13.721,14.861,10.804,9.934,9.469,0.4749019607843149,0.5586536796536787,-0.9161286549707612,0.22757009345794343,2.773479532163743,4.268420560747664,7.70966355140187,1.8965263157894743,2.6080607476635524,5.243009345794394,1.9026261682242995,Jmag_Hmag_Kmag,-61.683309,15.361,4.321,8.782,1.28,13838,3.588,9.63,168.782772,1,0,0,1
5687,19.54,19.688,18.157,17.272,17.843,15.635,15.105,14.84,0.3048366013071885,-0.8704199134199124,-1.688023391812865,-1.0877429906542044,0.30650877192982207,1.077803738317756,2.983084112149535,1.0186315789473666,1.3857383177570082,2.8402476635514033,1.0450934579439273,Jmag_Hmag_Kmag,-61.179767,18.152,4.637,5.612,5.62,14405,4.1,18.65,170.355833,1,0,1,0
5722,20.484,18.317,15.149,13.372,14.604,9.97,9.007,8.402,0.44894771241830134,0.6721428571428585,-0.985076023391811,0.2757990654205622,3.173502923976612,4.805280373831779,8.654878504672897,2.1392105263157912,2.915873831775702,5.860364485981308,2.1224205607476625,Jmag_Hmag_Kmag,-61.949044,15.143,4.369,10.121,1.96,14506,3.68,8.86,170.078909,1,0,0,1
5756,20.499,19.962,18.39,17.451,18.017,16.053,15.236,15.163,0.7549738562091501,-0.20476623376623426,-1.0635789473684214,-0.4536775700934589,0.9668245614035071,1.7464579439252308,3.756822429906539,1.028368421052631,1.3994439252336435,2.931532710280372,1.0976915887850465,Jmag_Hmag_Kmag,-61.353465,18.372,4.344,5.247,7.69,14584,3.679,15.82,170.729772,1,0,0,0
