,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
165,19.95,16.73,14.29,12.98,13.77,10.709,9.637,9.278,Kmag,,-20.7111389,0.0,,0.069,0.0,,,True,1.544,,,0.08,,,1.788,571,15.265,0.0,NGC 2421,0.0,0.038,0.021,0.07,,,,,0.023,114.0834583,,,,,0.022,O
235,18.9,16.0,13.75,12.54,13.2,10.597,9.569,9.236,Kmag,,-20.6499444,0.0,,0.064,0.0,,,False,1.464,,,0.03,,,1.53,410,14.757,0.01,NGC 2421,0.0,0.031,0.019,0.054,,,,,0.024,114.1735,,,,,0.024,O
240,19.72,18.86,17.5,17.09,17.17,16.239,15.786,16.631,Kmag,,-25.4831667,0.01,,0.115,0.05,,,True,0.512,,,0.02,,,0.485,822,17.701,0.05,Haffner 16,0.02,0.087,,0.118,,,,,0.094,117.4814167,,,,,0.126,O
256,20.66,18.69,16.47,15.72,16.01,14.595,13.883,13.67,umag,,-25.5177222,0.01,,0.089,0.01,,,False,1.169,,,0.04,,,0.886,1004,17.186,0.01,Haffner 16,0.01,0.07,0.043,0.103,,,,,0.021,117.4952917,,,,,0.022,O
470,20.62,19.0,16.91,16.25,16.49,15.197,14.309,14.071,umag,,-25.5447778,0.01,,0.099,0.01,,,True,1.04,,,0.05,,,0.727,1154,17.462,0.01,Haffner 16,0.01,0.079,,0.112,,,,,0.062,117.722875,,,,,,O
906,20.11,16.77,14.16,12.97,13.82,10.665,9.66,9.27,Kmag,,-53.9203611,0.01,,0.077,0.0,,,True,1.634,,,0.08,,,1.616,649,15.421,0.0,Ruprecht 79,0.0,0.05,0.023,0.083,,,,,0.022,145.1267083,,,,,0.022,O
1272,16.87,14.44,12.51,11.62,12.13,9.924,9.015,8.747,Hmag | Kmag,,-57.6604167,0.01,,0.073,0.0,,,False,1.286,,,0.01,,,1.168,246,13.404,0.0,IC 2581,0.0,0.051,0.021,0.08,,,,,0.023,157.0076667,,,,,0.022,O
1345,18.19,15.56,13.42,12.18,12.96,10.29,9.387,9.042,Hmag | Kmag,,-5.7654722,0.0,,0.064,0.0,,,False,1.537,,,0.03,,,1.396,5,14.437,0.0,Basel 1,0.0,0.05,0.024,0.079,,,,,0.024,282.029125,,,,,0.022,O
1395,19.78,16.67,14.23,12.84,13.77,10.572,9.561,9.217,Kmag,,-5.9135833,0.01,,0.073,0.01,,,False,1.616,,,0.08,,,1.567,531,15.182,0.0,Basel 1,0.01,0.058,0.021,0.095,,,,,0.025,282.0593333,,,,,0.027,O
1405,19.27,16.12,13.86,12.6,13.4,10.574,9.658,9.369,Kmag,,-5.7722222,0.0,,0.071,0.0,,,False,1.628,,,0.05,,,1.533,30,14.998,0.0,Basel 1,0.0,0.056,0.019,0.09,,,,,0.023,282.067375,,,,,0.021,O
1462,19.19,15.99,13.72,12.08,13.14,9.836,8.866,8.505,Jmag | Hmag | Kmag,,-5.9663611,0.0,,0.065,0.0,,,False,1.607,,,0.05,,,1.4,750,14.629,0.01,Basel 1,0.0,0.051,0.021,0.081,,,,,0.024,282.1047917,,,,,0.042,O
1533,20.84,17.27,14.97,13.54,14.47,11.57,10.644,10.342,umag,,-5.8865278,0.01,,0.088,0.01,,,False,1.662,,,0.15,,,1.419,427,16.097,0.02,Basel 1,0.01,0.066,0.025,0.108,,,,,0.026,282.1530417,,,,,0.026,O
1539,20.73,17.59,15.46,14.16,15.01,12.216,11.319,11.07,umag,,-5.85425,0.01,,0.092,0.01,,,False,1.567,,,0.13,,,1.506,296,16.327,0.02,Basel 1,0.01,0.07,0.023,0.119,,,,,0.028,282.156125,,,,,0.023,O
1570,16.64,14.45,12.64,11.76,12.22,10.061,9.265,8.993,Hmag | Kmag,,-58.2875,0.0,,0.064,0.0,,,False,1.408,,,0.01,,,1.126,121,13.644,0.0,NGC 3293,0.0,0.055,0.019,0.076,,,,,0.022,158.856375,,,,,0.023,O
1577,15.15,14.38,12.88,12.04,12.51,10.323,9.57,9.301,Kmag,,-58.1921944,0.0,,0.057,0.0,,,False,1.158,,,0.0,,,0.881,29,13.745,0.0,NGC 3293,0.0,0.047,0.026,0.064,,,,,0.027,159.0095417,,,,,0.028,O
1836,20.73,17.62,15.27,13.97,14.77,11.809,10.792,10.536,umag,,-60.6961944,0.02,,0.101,0.0,,,False,1.689,,,0.13,,,1.628,1080,16.493,0.0,Trumpler 20,0.01,0.061,0.023,0.106,,,,,0.024,189.8312917,,,,,0.021,O
1967,20.71,16.97,14.51,12.96,13.92,10.553,9.426,9.08,umag | Hmag | Kmag,,-60.6114722,0.01,,0.075,0.0,,,False,1.873,,,0.12,,,1.777,558,15.812,0.0,Trumpler 20,0.0,0.035,0.02,0.064,,,,,0.023,189.910875,,,,,0.022,O
1994,18.69,15.6,13.52,12.09,13.01,10.053,9.082,8.692,Hmag | Kmag,,-60.6311667,0.01,,0.067,0.01,,,False,1.655,,,0.03,,,1.482,692,14.603,0.01,Trumpler 20,0.0,0.024,0.018,0.042,,,,,0.024,189.9250417,,,,,0.025,O
2163,20.27,16.75,14.24,12.35,13.66,9.725,8.603,8.161,Jmag | Hmag | Kmag,,-60.5746389,0.01,,0.072,0.01,,,False,2.015,,,0.08,,,1.919,326,15.619,0.0,Trumpler 20,0.0,0.034,0.029,0.064,,,,,0.023,190.0200417,,,,,0.018,O
2415,15.63,13.97,12.29,11.45,11.89,10.025,9.318,9.145,Hmag | Kmag,,-47.4668056,0.0,,0.05,0.0,,,False,1.15,,,0.01,,,1.008,146,13.117,0.0,NGC 6200,0.0,0.027,0.025,0.046,,,,,0.022,250.958125,,,,,0.024,O
2437,17.55,14.91,12.91,11.91,12.47,10.235,9.362,9.122,Hmag | Kmag,,-47.5444444,0.0,,0.061,0.0,,,False,1.392,,,0.01,,,1.233,257,13.932,0.0,NGC 6200,0.0,0.039,0.023,0.067,,,,,0.024,251.0463333,,,,,0.024,O
2463,16.69,14.61,12.67,11.7,12.25,10.084,9.333,9.075,Hmag | Kmag,,-47.4789722,0.01,,0.058,0.0,,,False,1.344,,,0.01,,,1.242,164,13.656,0.0,NGC 6200,0.0,0.035,0.023,0.06,,,,,0.024,251.13175,,,,,0.026,O
2483,14.21,13.95,13.34,12.93,13.15,12.348,9.971,8.329,Kmag,,-46.9339444,0.01,,0.102,0.01,,,False,0.423,,,0.0,,,0.306,16,13.641,0.01,NGC 6204,0.0,0.064,,0.084,,,,,0.04,251.6933333,,,,,,O
2661,18.26,15.52,13.27,12.22,12.79,10.289,9.34,9.07,Hmag | Kmag,,-44.7259722,0.0,,0.057,0.0,,,False,1.523,,,0.02,,,1.402,76,14.378,0.0,NGC 6249,0.0,0.04,0.02,0.07,,,,,0.024,254.576,,,,,0.023,O
2674,16.2,14.57,12.89,11.99,12.51,10.388,9.647,9.247,Kmag,,-35.6356111,0.0,,0.093,0.0,,,False,1.243,,,0.01,,,1.046,41,13.702,0.0,Bochum 13,0.0,0.065,0.027,0.106,,,,,0.024,259.347,,,,,0.03,O
2678,15.84,14.97,13.1,11.84,12.66,9.967,9.502,9.238,Hmag | Kmag,,-33.4319444,0.0,,0.092,0.0,,,True,1.375,,,0.01,,,1.315,13,14.052,0.0,Trumpler 27,0.0,0.04,0.023,0.064,,,,,0.021,264.0842917,,,,,0.024,O
2683,18.88,15.78,13.35,12.23,12.9,9.957,8.99,8.636,Hmag | Kmag,,-32.4676667,0.0,,0.081,0.0,,,False,1.575,,,0.04,,,1.562,92,14.621,0.0,Trumpler 28,0.0,0.054,0.026,0.105,,,,,0.023,264.1210417,,,,,0.029,O
2699,16.36,16.05,15.11,14.53,14.8,13.671,10.26,9.155,Kmag,,-32.4200833,0.01,,0.091,0.0,,,False,0.699,,,0.01,,,0.594,47,15.519,0.01,Trumpler 28,0.01,0.054,,0.079,,,,,0.036,264.1864583,,,,,,O
2713,16.57,14.7,12.85,12.04,12.47,10.359,9.581,9.304,Kmag,,-32.4810556,0.0,,0.06,0.0,,,True,1.21,,,0.01,,,1.151,111,13.829,0.0,Trumpler 28,0.0,0.029,0.023,0.051,,,,,0.026,264.2219583,,,,,0.026,O
2718,20.66,16.88,14.0,12.59,13.46,9.7,8.521,8.118,umag | Jmag | Hmag | Kmag,,-32.4439722,0.01,,0.098,0.0,,,False,1.66,,,0.13,,,0.907,62,15.233,0.01,Trumpler 28,0.0,0.071,0.031,0.111,,,,,0.03,264.2351667,,,,,0.034,O
2750,18.6,15.82,13.67,12.5,13.21,10.497,9.607,9.329,Kmag,,-32.5528056,0.0,,0.068,0.0,,,True,1.501,,,0.03,,,1.439,186,14.762,0.0,Trumpler 28,0.0,0.04,0.023,0.074,,,,,0.023,264.3190417,,,,,0.025,O
3015,20.29,16.89,14.1,12.64,13.6,10.106,9.07,8.703,Hmag | Kmag,,-8.5098889,0.0,,0.047,0.0,,,True,0.588,,,0.11,,,0.525,463,12.547,0.0,Trumpler 34,0.0,0.027,0.02,0.04,,,,,0.024,280.0740417,,,,,0.023,B
3027,20.69,17.51,14.94,13.62,14.48,11.284,10.356,10.017,umag,,-8.5266389,0.01,,0.065,0.0,,,True,0.785,,,0.13,,,0.718,512,15.072,0.0,Trumpler 34,0.0,0.042,0.023,0.062,,,,,0.026,280.0847083,,,,,0.024,O
3028,20.14,16.66,14.01,12.48,13.43,9.984,8.943,8.58,Hmag | Kmag,,-8.38975,0.01,,0.078,0.0,,,False,1.176,,,0.07,,,1.08,97,15.855,0.01,Trumpler 34,0.0,0.057,0.023,0.09,,,,,0.024,280.0848333,,,,,0.023,O
3102,20.42,16.94,14.25,12.54,13.67,10.398,9.341,8.945,Hmag | Kmag,,-5.9305,0.01,,0.084,0.01,,,False,1.935,,,0.1,,,1.893,597,15.703,0.01,Basel 1,0.01,0.069,0.021,0.12,,,,,0.023,281.98175,,,,,0.022,O
